id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,genre_list,keywords_list,cast_list,director,release_year,release_month
19995,Avatar,2009-12-10,237000000.0,2787965087.0,162.0,7.2,12114.0,185.070892,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang', 'Michelle Rodriguez', 'Giovanni Ribisi', 'Joel David Moore', 'CCH Pounder', 'Wes Studi', 'Laz Alonso', 'Dileep Rao', 'Matt Gerald', 'Sean Anthony Moran', 'Jason Whyte', 'Scott Lawrence', 'Kelly Kilgour', 'James Patrick Pitt', 'Sean Patrick Murphy', 'Peter Dillon', 'Kevin Dorman', 'Kelson Henderson', 'David Van Horn', 'Jacob Tomuri', 'Michael Blain-Rozgay', 'Jon Curry', 'Luke Hawker', 'Woody Schultz', 'Peter Mensah', 'Sonia Yee', 'Jahnel Curfman', 'Ilram Choi', 'Kyla Warren', 'Lisa Roumain', 'Debra Wilson', 'Chris Mala', 'Taylor Kibby', 'Jodie Landau', 'Julie Lamm', 'Cullen B. Madden', 'Joseph Brady Madden', 'Frankie Torres', 'Austin Wilson', 'Sara Wilson', 'Tamica Washington-Miller', 'Lucy Briant', 'Nathan Meister', 'Gerry Blair', 'Matthew Chamberlain', 'Paul Yates', 'Wray Wilson', 'James Gaylyn', 'Melvin Leno Clark III', 'Carvon Futrell', 'Brandon Jelkes', 'Micah Moch', 'Hanniyah Muhammad', 'Christopher Nolen', 'Christa Oliver', 'April Marie Thomas', 'Bravita A. Threatt', 'Colin Bleasdale', 'Mike Bodnar', 'Matt Clayton', 'Nicole Dionne', 'Jamie Harrison', 'Allan Henry', 'Anthony Ingruber', 'Ashley Jeffery', 'Dean Knowsley', 'Joseph Mika-Hunt', 'Terry Notary', 'Kai Pantano', 'Logan Pithyou', 'Stuart Pollock', 'Raja', 'Gareth Ruck', 'Rhian Sheehan', 'T. J. Storm', 'Jodie Taylor', 'Alicia Vela-Bailey', 'Richard Whiteside', 'Nikie Zambo', 'Julene Renee']",James Cameron,2009,12
140607,Star Wars: The Force Awakens,2015-12-15,245000000.0,2068223624.0,136.0,7.5,7993.0,31.626013,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","['android', 'spaceship', 'jedi', 'imax', 'space opera', '3d']","['Daisy Ridley', 'John Boyega', 'Adam Driver', 'Harrison Ford', 'Oscar Isaac', 'Carrie Fisher', 'Mark Hamill', ""Lupita Nyong'o"", 'Andy Serkis', 'Domhnall Gleeson', 'Anthony Daniels', 'Max von Sydow', 'Peter Mayhew', 'Joonas Suotamo', 'Gwendoline Christie', 'Simon Pegg', 'Billie Lourd', 'Greg Grunberg', 'Ken Leung', 'Cailey Fleming', 'Ian Whyte', 'Kiran Shah', 'Pip Torrens', 'Andrew Jack', 'Rocky Marshall', 'Emun Elliott', 'Brian Vernel', 'Yayan Ruhian', 'Sebastian Armesto', 'Maisie Richardson-Sellers', 'Warwick Davis', 'Iko Uwais', 'Anna Brewster', 'Harriet Walter', 'Tim Rose', 'Mike Quinn', 'Jessica Henwick', 'Crystal Clarke', 'Leanne Best', 'Philicia Saunders', 'Jeffery Kissoon', 'Claudia Sermbezis', 'Gerald W. Abrams', 'Jim McGrath', 'Morgan Dameron', 'Tosin Cole', 'James McArdle', 'Stefan Grube', 'Thomas Brodie-Sangster', 'Daniel Craig', 'Michael Giacchino', 'Nigel Godrich', 'Pip Andersen', 'Dixie Arnold', 'Hannah John-Kamen', 'Mark Stanley', 'Ewan McGregor', 'Frank Oz', 'Alec Guinness', 'Sasha Frost', 'Miltos Yerolemou', 'Judah Friedlander', 'Victor McGuire', 'Erik Bauersfeld', 'Dave Chapman', 'Brian Herring', 'Cecep Arif Rahman', 'Kate Fleetwood', 'Tom Kane', 'Catherine Taber', 'Matthew Wood', 'James Arnold Taylor', 'Michael Donovan', 'Devon Libran', 'Robert Stambler', 'Verona Blue', 'Fred Tatasciore', 'Patrick Correll', 'Karen Huie', 'Orly Schuchmacher', 'Mark Dodson', 'Kevin Smith', 'Samuel Witwer', 'Saara Forsberg']",J.J. Abrams,2015,12
597,Titanic,1997-11-18,200000000.0,1845034188.0,194.0,7.5,7770.0,26.88907,"['Drama', 'Romance', 'Thriller']","['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'ocean liner', 'epic', 'rich woman - poor man', 'love', 'disaster', 'tragic love', 'class differences', 'imax', 'star crossed lovers', 'steerage', 'salvage', 'rich snob', '3d', '1910s']","['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher', 'Billy Zane', 'Kathy Bates', 'Gloria Stuart', 'Bill Paxton', 'Bernard Hill', 'David Warner', 'Victor Garber', 'Jonathan Hyde', 'Suzy Amis', 'Lewis Abernathy', 'Nicholas Cascone', 'Danny Nucci', 'Jason Barry', 'Lew Palter', 'Eric Braeden', 'Bernard Fox', 'Ewan Stewart', 'Ioan Gruffudd', 'Jonny Phillips', 'Edward Fletcher', 'Scott G. Anderson', 'Martin East', 'Gregory Cooke', 'Alexandrea Owens', 'Seth Adkins', 'Michael Ensign', 'Anatoly M. Sagalevitch', 'Martin Hub', 'Mark Lindsay Chapman', 'Richard Graham', 'Paul Brightwell', 'Ron Donachie', 'Charlotte Chatton', 'Fannie Brett', 'Jenette Goldstein', 'Camilla Overbye Roos', 'Linda Kerns', 'Amy Gaipa', 'Martin Jarvis', 'Rosalind Ayres', 'Rochelle Rose', 'Jonathan Evans-Jones', 'Brian Walsh', 'Rocky Taylor', 'Craig Kelly', 'Liam Tuohy', 'Simon Crane', 'James Lancaster', 'Elsa Raven', 'Reece P. Thompson III', 'Laramie Landis', 'Mark Rafael Truitt', 'John Walcutt', 'Terry Forrestal', 'Derek Lea', 'Richard Ashton', 'Sean Nepita', 'Brendan Connolly', 'David Cronnelly', 'Garth Wilton', 'Richard Fox', 'Nick Meaney', 'Kevin Owers', 'Mark Capri', 'Marc Cass', 'Paul Herbert', 'Emmett James', 'Chris Byrne', 'Oliver Page', 'James Garrett', 'Erik Holland', 'Erik Holland', 'Jari Kinnunen', 'Anders Falk', 'Barry Dennen', 'Vern Urich', 'Rebecca Klingler', ""Tricia O'Neil"", 'Kathleen S. Dunn', 'Romeo Francis', 'Mandana Marino', 'Van Ling', 'Bjørn Olsen', 'Dan Pettersson', 'Shay Duffin', 'Greg Ellis', 'Diana Morgan', 'Kris Andersson', 'Bobbie Bates', 'Aaron James Cash', 'Anne Fletcher', 'Edmond Alan Forsyth', 'Andie Hicks', 'Scott Hislop', 'Stan Mazin', 'Lisa Ratzin', 'Julene Renee', 'Brian Baines', 'Ellie Bensinger', 'Alexandra Boyd', 'Mike Butters', 'James Cameron', 'Bruno Campolo', 'Chris Cragnotti', 'Kevyn Currie', 'Kevin De La Noy', 'Thomas Fiss', 'Griffin Howell', 'Sean Howse', 'Tony Kenny', 'Bret Aaron Knower', 'George Kosty III', 'George Kosty Jr.', 'Geoffrey C. Kosty', 'Gregory Charles Kosty', 'Sean Lawlor', 'John Leonhardt', 'Miguel A. Lomelin', 'Don Lynch', 'Johnny Martin', 'Ryan McClurkin', 'Meghan McLeod', ""Mike O'Neal"", 'Julian Oros', 'Phil Parlapiano', 'Judy Prestininzi', 'Steven Quale', 'Olivia Rosewood', 'John Slade', 'Stephen Wolfe Smith', 'R. Gern Trowbridge', 'Francisco Váldez', 'Lucie Zolcerova']",James Cameron,1997,11
24428,The Avengers,2012-04-25,220000000.0,1519557910.0,143.0,7.4,12000.0,89.887648,"['Science Fiction', 'Action', 'Adventure']","['new york', 'shield', 'marvel comic', 'superhero', 'based on comic', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgård', 'Samuel L. Jackson', 'Gwyneth Paltrow', 'Paul Bettany', 'Jenny Agutter', 'Walter Perez', 'Powers Boothe', 'Stan Lee', 'Arthur Darbinyan', 'Donald Li', 'Ashley Johnson', 'Harry Dean Stanton', 'Alicia Sixtos', 'Dieter Riesle', 'Jamie McShane', 'Jeff Wolfe', 'Jerzy Skolimowski', 'Maximiliano Hernández', 'Alexis Denisof', 'James Eckhouse', 'Enver Gjokaj', 'Damion Poitier', 'Tina Benko', 'Kirill Nikiforov', ""M'laah Kaur Singh"", 'Rashmi Rustagi', 'Warren Kole', 'Jesse Garcia', 'Kenneth Tigar', 'Josh Cowdery', 'Katsumi Komatsu', 'Yumiko Komatsu', 'Momoko Komatsu', 'Robert Clohessy', 'Fernanda Toker', 'Andrea Vecchio', 'Robin Swoboda', 'Brent McGee', 'Michael Zhang', 'William-Christopher Stephens', 'Kelley Robins', 'Romy Rosemont', 'Pat Kiernan', 'Thomas Roberts', 'Jillian Morgese', 'Catherine Anderson', 'Ricardo Andres', 'Logan Bennett', 'Mayank Bhatter', 'Sharita Bone', 'Jason Botsford', 'Mary Kate Campbell', 'Gene N. Chavez', 'Layla Cushman', 'Robert Dean', 'Rick Dremann', 'Jeffrey Feingold', 'Lou Ferrigno', 'Rod Fielder', 'Eric Frank', 'Israel Hall', 'Carmen Dee Harris', 'Alexander Christopher Jones', 'Mike Karban', 'Demoine Kinney', 'Andrew Knode', 'Annette Lawless', 'Kimberly J. Mahoney', 'Todd Manes', 'Jorge Mardel', 'Tiffany Sander McKenzie', 'Michael McMillan', 'Sean Meehan', 'Joti Nagra', 'Holly Neelie', 'Caleb Daniel Noal', ""Joseph O'Brien"", 'Jeremy Orr', 'Nate Paige', 'Martin Palmer', 'Maria Perossa', 'Caleb Pieplow', 'Alexander Daniel Pimentel', 'Frank Powers', 'Jaime Powers', 'Brent Reichert', 'Kelly Ruble', 'Gina Sarno', 'Robert B. Schneider IV', 'Jeff Seich', 'Christina Shaffer', 'Alonda Shevette', 'Douglas Slygh', 'Colin Strause', 'Robert P. Thitoff', 'George Thomas', 'Shane Thompson', 'Jerry Lee Tucker', 'Tai Urban', 'Chris Vaina', 'Sandra Weston', 'Seth Zielicke', 'Alex DeCourville', 'Debbie Scaletta', 'Andrea-Nichole Olivas', 'Tina Grimm']",Joss Whedon,2012,4
135397,Jurassic World,2015-06-09,150000000.0,1513528810.0,124.0,6.5,8842.0,32.790475,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusement park', 'animal attack', 'theme park', 'jurassic park', '3d', 'animal horror']","['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan', ""Vincent D'Onofrio"", 'Nick Robinson', 'Ty Simpkins', 'Jake Johnson', 'Omar Sy', 'BD Wong', 'Judy Greer', 'Lauren Lapkus', 'Brian Tee', 'Katie McGrath', 'Andy Buckley', 'Eric Edelstein', 'Jimmy Fallon', 'James DuMont', 'Matt Burke', 'Anna Talakkottur', 'Colin Trevorrow', 'Courtney J. Clark', 'Kelly Washington', 'Matthew Cardarople', 'Chad Randall', 'Yvonne Angulo', 'Chloe Perrin', 'Erika Erica', 'Tiffany Forest']",Colin Trevorrow,2015,6
168259,Furious 7,2015-04-01,190000000.0,1506249360.0,137.0,7.3,4253.0,27.275687,['Action'],"['car race', 'speed', 'revenge', 'suspense', 'car', 'race', 'muscle car']","['Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'Jordana Brewster', 'Djimon Hounsou', 'Tony Jaa', 'Ronda Rousey', 'Nathalie Emmanuel', 'Kurt Russell', 'Jason Statham', 'Sung Kang', 'Gal Gadot', 'Lucas Black', 'Elsa Pataky', 'Noel Gugliemi', 'John Brotherton', 'Luke Evans', 'Ali Fazal', 'Miller Kimsey', 'Charlie Kimsey', 'Eden Estrella', 'Gentry White', 'Iggy Azalea', 'Jon Lee Brody', 'Levy Tran', 'Anna Colwell', 'Viktor Hernandez', 'Steve Coulter', 'Robert Pralgo', 'Antwan Mills', 'J.J. Phillips', 'Jorge Ferragut', 'Sara Sohn', 'Benjamin Blankenship', 'D.J. Hapa', 'T-Pain', 'Brian Mahoney', 'Brittney Alger', 'Romeo Santos', 'Jocelin Donahue', 'Stephanie Langston', 'Jorge-Luis Pallo', 'Tego Calderón', 'Nathalie Kelley', 'Shad Moss', 'Don Omar', 'Klement Tinaj', 'Caleb Walker', 'Cody Walker']",James Wan,2015,4
99861,Avengers: Age of Ultron,2015-04-22,280000000.0,1405403694.0,141.0,7.3,6908.0,37.37942,"['Action', 'Adventure', 'Science Fiction']","['marvel comic', 'sequel', 'superhero', 'based on comic', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'James Spader', 'Samuel L. Jackson', 'Don Cheadle', 'Aaron Taylor-Johnson', 'Elizabeth Olsen', 'Paul Bettany', 'Cobie Smulders', 'Anthony Mackie', 'Hayley Atwell', 'Idris Elba', 'Linda Cardellini', 'Stellan Skarsgård', 'Claudia Kim', 'Thomas Kretschmann', 'Andy Serkis', 'Julie Delpy', 'Stan Lee', 'Henry Goodman', 'Chris Luca', 'Brian Schaeffer', 'Dominique Provost-Chalkley', 'Isaac Andrews', 'Gareth Kieran Jones', 'Chan Woo Lim', 'Minhee Yeo', 'Bentley Kalu', 'Julian Bleach', 'Christopher Beasley', 'Vuyo Dabula', 'Nondumiso Tembe', 'Kabelo Thai', 'Lele Leowaba', 'Mandla Gaduka', 'Harriet Manamela', 'Beulah Hashe', 'Musca Kumalo', 'Mathapelo September', 'Antony Acheampong', 'Chioma Anyanwu', 'Ben Sakamoto', 'Imogen Poynton', 'Isabella Poynton', 'Ingvild Deila', 'Sunny Yeo', 'Namju Go', 'Mina Kweon', 'Earl T. Kim', 'Arthur Lee', 'Verity Hewlett', 'Michael Matovski', 'Alma Noce', 'Riccardo Richetta', 'Constanza Ruff', 'Monty Mclaren-Clark', 'Julia Krynke', 'Tony Christensen', 'Ian Kay', 'Barry Aird', 'Aaron Himelstein', 'Kerry Condon', 'Jaiden Stafford', 'Dilyana Bouklieva', 'Josh Brolin', 'Joti Nagra', 'Nick W. Nicholson', 'Daniel Westwood']",Joss Whedon,2015,4
12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-07,125000000.0,1342000000.0,130.0,7.9,6141.0,24.990737,"['Family', 'Fantasy', 'Adventure']","['self sacrifice', 'magic', 'frog', 'sorcerer', 'school', 'wizard', '3d']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Alan Rickman', 'Maggie Smith', 'Helena Bonham Carter', 'Emma Thompson', 'Robbie Coltrane', 'Ralph Fiennes', 'Gemma Jones', 'Clémence Poésy', 'Warwick Davis', 'Domhnall Gleeson', 'James Phelps', 'Oliver Phelps', 'Jim Broadbent', 'Mark Williams', 'Pauline Stone', 'David Thewlis', 'Suzie Toase', 'Natalia Tena', 'George Harris', 'Ciarán Hinds', 'Julie Walters', 'David Ryall', 'Arben Bajraktaraj', 'Peter Mullan', 'David Bradley', 'Miriam Margolyes', 'Timothy Spall', 'Jason Isaacs', 'Ralph Ineson', 'Helen McCrory', 'Chris Rankin', 'Tom Felton', 'Rod Hunt', 'Dave Legeno', 'Nick Moran', 'Guy Henry', 'Bonnie Wright', 'Evanna Lynch', 'Anna Shaffer', 'Matthew Lewis', 'Devon Murray', 'Alfie Enoch', 'Jessie Cave', 'Shefali Chowdhury', 'Afshan Azad', 'Louis Cordice', 'Josh Herdman', 'Scarlett Byrne', 'Isabella Laughland', 'Jamie Marks', 'Katie Leung', 'Georgina Leonidas', 'Freddie Stroma', 'John Hurt', 'Kelly Macdonald', 'Michael Gambon', 'Gary Oldman', 'Adrian Rawlins', 'Geraldine Somerville', 'Anthony Allgood', 'Rusty Goffe', 'Benn Northover', 'Ian Peck', 'Hebe Beardsall', 'William Melling', 'Sian Grace Phillips', 'Suzanne Toase', 'Amber Evans', 'Ruby Evans', 'Jon Key', 'Philip Wright', 'Gary Sayer', 'Tony Adkins', 'Penelope McGhie', 'Ellie Darcey-Alden', 'Ariella Paradise', 'Benedict Clarke', 'Alfie McIlwain', 'Rohan Gotobed', 'Toby Papworth', 'Peter G. Reed', 'Judith Sharp', 'Emil Hostina', 'Bob Yves Van Hellenberg Hubar', 'Granville Saxton', 'Tony Kirwood', 'Ashley McGuire', 'Arthur Bowen', 'Daphne de Beistegui', 'Will Dunn', 'Jade Gordon', 'Bertie Gilbert', 'Helena Barlow', 'Ryan Turner', 'Jamie Campbell Bower', 'Luke Newberry', 'Sean Biggerstaff', 'Leslie Phillips', 'Graham Duff']",David Yates,2011,7
109445,Frozen,2013-11-27,150000000.0,1274219009.0,102.0,7.3,5440.0,24.248243,"['Animation', 'Adventure', 'Family']","['queen', 'musical', 'princess', 'betrayal', 'snowman', 'animation', 'reindeer', 'curse', 'snow', 'troll', 'mountain climber', 'aftercreditsstinger', 'woman director', '3d']","['Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad', 'Santino Fontana', 'Alan Tudyk', 'Ciarán Hinds', 'Chris Williams', 'Stephen J. Anderson', 'Maia Wilson', 'Edie McClurg', 'Robert Pine', 'Maurice LaMarche', 'Livvy Stubenrauch', 'Eva Bella', 'Spencer Ganus', 'Ava Acres', 'Stephen Apostolina', 'Krik Baily', 'David Boat', 'Paul Briggs', 'Woody Buck', 'Lewis Cleale', 'Wendy Cutler', 'Terri Douglas', 'Eddie Frierson', 'Jean Gilpin', 'Jackie Gonneau', 'Nicholas Guest', 'Bridget Hoffman', 'Nick Jameson', 'Daniel Kaz', 'John Lavelle', 'Jennifer Lee', 'Patricia Lentz', 'Annie Lopez', 'Katie Lowes', 'Mona Marshall', 'Dara McGarry', 'Scott Menville', 'Adam Overett', 'Paul Pape', 'Courtney Peldon', 'Jennifer Perry', 'Raymond S. Persi', 'Jean-Michel Richaud', 'Lynwood Robinson', 'Carter Sand', 'Jadon Sand', 'Katie Silverman', 'Pepper Sweeney', 'Fred Tatasciore', 'Annaleigh Ashford', 'Jenica Bergere', 'Tyree Brown', 'June Christopher']",Chris Buck,2013,11
321612,Beauty and the Beast,2017-03-16,160000000.0,1262886337.0,129.0,6.8,5530.0,287.253654,"['Family', 'Fantasy', 'Romance']","['france', 'magic', 'castle', 'fairy tale', 'musical', 'curse', 'anthropomorphism', 'creature', 'held captive', 'gothic', '18th century', 'beast', '3d']","['Emma Watson', 'Dan Stevens', 'Luke Evans', 'Kevin Kline', 'Josh Gad', 'Ewan McGregor', 'Stanley Tucci', 'Audra McDonald', 'Gugu Mbatha-Raw', 'Ian McKellen', 'Emma Thompson', 'Nathan Mack', 'Hattie Morahan', 'Adrian Schiller', 'Gerard Horan', 'Haydn Gwynne', 'Ray Fearon', 'Clive Rowe', 'Thomas Padden', 'Alexis Loizon', 'Jimmy Johnston', 'Dean Street', 'Michael Jibson', 'Zoe Rainey', 'Jolyon Coy', 'Rudi Goodman', 'Henry Garrett', 'Harriet Jones', 'Sophie Reid', 'Rafaëlle Cohen', 'Carla Nella', 'Tom Oakley', 'Beth Willetts', 'Simone Sault', 'Mandy Montanez', 'Leo Andrew', 'Steven Butler', 'Daniel Ioannou', 'Dale Branston', 'Lynne Wilmot', 'Jane Fowler', 'D.J. Bailey', 'Rita Davies', 'Sharon Gomez', 'Daisy Duczmal', 'Harry Marcus', 'Oscar Francisco', 'Kai Gordon', 'Tom Burgering', 'Joey Brown', 'Freddie Hunter', 'Daniel Daszek-Green', 'Samuel Brown', 'Max Brophy', 'Skye Lucia Degruttola', 'Lara Decaro', 'Gemma Fray', 'Adelaide Morgan', 'Timia Julien-Box', 'Sonoya Mizuno', 'Abigayle Honeywill', 'Jazz Peters', 'Lily Frazer', 'Stephanie Elstob', ""Nicole O'Neill"", 'Cassie Clare', 'Sophie Carmen-Jones', 'Sophia Brown', 'Leah West', 'Naomi Weijand', 'Jasmine Takacs', 'Ruth Steele', 'Lucy St Louis', 'Katie Singh', 'Kayla Radam', 'Courtney Pruce', 'Nicola Mooi', 'Anna Momcilovic', 'Samira Mighty', 'Fiona McDonald', 'Abiona Omonua', 'Cassie Macmillian', 'Emily Loumba', 'Jennifer Leung', 'Ella Kora', 'Hannah Kenna-Thomas', 'Billie Kay-Piper', 'Shireen Jathoonia', 'Blythe Jandoo', 'Chelsea Inez', 'Leah Hill', 'Selina Hamilton', 'Helen Gulstan', 'Lucy Alexa Gilbert', 'Cj Field', 'Cordelia Farnworth', 'Paige Drury-Lawrence', 'Natalie Davis', 'Tanya Cumberland', 'Ava Brennan', 'Daisy Boyles', 'Holly Bluett', 'Koko Basigara', 'Sophie Atkins', 'Gabby Antrobus', 'Rhianne Alleyn', 'Hayley Ainsley', 'Danielle Acors', 'Marina Abdeen', 'Nathan Vaughan Harris', 'Ben Clare', 'Ben Fox', 'Tim Stanley', 'Jody Hall', 'Rebecca Mckinnis', 'Dawn Buckland', ""Ellen O'Grady"", 'Alison Jenkins', 'Ebony Molina', 'Nicola Keen', 'Freddie August', 'Phil Grannel', 'Jak Allen-Anderson', 'William Bozier', 'Vivien Parry', 'Jacqui Jameson', 'Norma Atallah', 'Wendy Baldock', 'Peter Challis', 'Sandy Strallen', 'Jemma Alexander', 'Chris Andrew Mellon', 'Alison Harding', 'Obioma Ugoala', 'Gizmo', 'Alex Gillison', 'Dan Trotter', 'Karl Farrer', 'Charlotte Worwood', 'Marat Khairoullin', 'Johanna Smitz', 'Lindy Pieri', 'Tyrone Love', 'Alona Leoine', 'Erica Melargo', 'Richard Banks', 'Jeremy Cave', 'Luke Fictitious', 'Chloe Collingwood', 'Isobel Hamilton', 'Rossana Silva', 'Crystal Compton', 'Marlonde Pierre', 'Paul De La Rosa', 'Clem So', 'Teresa Shaughnessy']",Bill Condon,2017,3
